"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_029","density_x","numeric","602.438356164384","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_029","density_y","numeric","0.00028581691526767","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_030","density_x","numeric","623.454011741683","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_030","density_y","numeric","0.00028268289630536","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_031","density_x","numeric","644.469667318982","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_031","density_y","numeric","0.000279219922127365","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_032","density_x","numeric","665.485322896282","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_032","density_y","numeric","0.000275359478136427","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_033","density_x","numeric","686.500978473581","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_033","density_y","numeric","0.00027112059735052","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_034","density_x","numeric","707.516634050881","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_034","density_y","numeric","0.000266590887927581","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_035","density_x","numeric","728.53228962818","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_035","density_y","numeric","0.000261899999666013","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_036","density_x","numeric","749.547945205479","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_036","density_y","numeric","0.000257192092743949","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_037","density_x","numeric","770.563600782779","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_037","density_y","numeric","0.000252601916365183","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_038","density_x","numeric","791.579256360078","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_038","density_y","numeric","0.000248237056716218","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_039","density_x","numeric","812.594911937378","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_039","density_y","numeric","0.000244167437333125","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_040","density_x","numeric","833.610567514677","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_040","density_y","numeric","0.000240422253027819","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_041","density_x","numeric","854.626223091976","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_041","density_y","numeric","0.000236993790297048","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_042","density_x","numeric","875.641878669276","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_042","density_y","numeric","0.000233846659069716","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_043","density_x","numeric","896.657534246575","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_043","density_y","numeric","0.000230929854101941","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_044","density_x","numeric","917.673189823875","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_044","density_y","numeric","0.000228188291253964","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_045","density_x","numeric","938.688845401174","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_045","density_y","numeric","0.000225573078467852","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_046","density_x","numeric","959.704500978474","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_046","density_y","numeric","0.000223035951220712","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_047","density_x","numeric","980.720156555773","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_047","density_y","numeric","0.000220533599147836","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_048","density_x","numeric","1001.73581213307","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_048","density_y","numeric","0.000218029998968006","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_049","density_x","numeric","1022.75146771037","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_049","density_y","numeric","0.000215492092565","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_050","density_x","numeric","1043.76712328767","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_050","density_y","numeric","0.000212892890369194","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_051","density_x","numeric","1064.78277886497","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_051","density_y","numeric","0.000210215759913398","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_052","density_x","numeric","1085.79843444227","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_052","density_y","numeric","0.000207457745426922","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_053","density_x","numeric","1106.81409001957","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_053","density_y","numeric","0.000204630279059467","overall","overall"
